"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.535969400E-1,-7.635590737E-4,-6.108472589E-4,-0.000000000E0,9.778327223E-4
5.560113670E-1,-1.527118147E-4,6.108472589E-4,-1.221694518E-3,1.374406333E-3
5.584257940E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
5.608402210E-1,-7.635590737E-4,-6.108472589E-4,1.832541777E-3,2.077105244E-3
5.632546490E-1,5.344913807E-4,-0.000000000E0,6.108472589E-4,8.116744481E-4
5.656690760E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
5.680834510E-1,-7.635590737E-4,1.832541777E-3,-0.000000000E0,1.985253592E-3
5.704978780E-1,-1.527118147E-4,-0.000000000E0,-0.000000000E0,1.527118147E-4
5.729123050E-1,-1.527118147E-4,-6.108472589E-4,-0.000000000E0,6.296469424E-4
5.753267320E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
5.777411590E-1,5.344913807E-4,-0.000000000E0,6.108472589E-4,8.116744481E-4
5.801555860E-1,1.756185899E-3,-0.000000000E0,-6.108472589E-4,1.859387879E-3
5.825700130E-1,1.145338640E-3,6.108472589E-4,-0.000000000E0,1.298050451E-3
5.849844400E-1,-7.635590737E-4,-0.000000000E0,6.108472589E-4,9.778327223E-4
5.873988150E-1,-1.374406274E-3,1.221694518E-3,1.221694518E-3,2.207729059E-3
5.898132420E-1,5.344913807E-4,6.108472589E-4,6.108472589E-4,1.015849292E-3
5.922276690E-1,-1.527118147E-4,1.221694518E-3,6.108472589E-4,1.374406333E-3
5.946420960E-1,-1.527118147E-4,2.443389036E-3,-1.832541777E-3,3.058051707E-3
5.970565240E-1,-7.635590737E-4,1.221694518E-3,1.221694518E-3,1.888940827E-3
5.994709510E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
6.018853780E-1,5.344913807E-4,6.108472589E-4,6.108472589E-4,1.015849292E-3
