"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.434076721E0,2.063809484E-1,-1.609173268E-1,9.883852959E0
3.443733961E0,1.920240223E-1,-1.633101404E-1,9.879067421E0
3.453391200E0,2.015953064E-1,-1.872383654E-1,9.883852959E0
3.463048440E0,2.135594189E-1,-1.752742529E-1,9.864710808E0
3.472705680E0,2.374876440E-1,-1.609173268E-1,9.886245728E0
3.482362919E0,2.039881349E-1,-1.848455518E-1,9.879067421E0
3.492020159E0,2.039881349E-1,-1.872383654E-1,9.886245728E0
3.501677398E0,2.183450609E-1,-1.609173268E-1,9.874281883E0
3.511334638E0,2.015953064E-1,-1.633101404E-1,9.886245728E0
3.520991877E0,2.063809484E-1,-1.441675574E-1,9.883852959E0
3.530649117E0,2.087737769E-1,-1.680957973E-1,9.874281883E0
3.540306357E0,1.992024779E-1,-1.728814393E-1,9.876674652E0
3.549963596E0,2.015953064E-1,-1.728814393E-1,9.867103577E0
3.559620836E0,2.039881349E-1,-1.752742529E-1,9.874281883E0
3.569278075E0,1.992024779E-1,-1.633101404E-1,9.883852959E0
3.578935315E0,2.111666054E-1,-1.680957973E-1,9.879067421E0
3.588592555E0,2.063809484E-1,-1.704886109E-1,9.888638496E0
3.598249794E0,2.063809484E-1,-1.585244983E-1,9.881460190E0
3.607907034E0,1.992024779E-1,-1.704886109E-1,9.879067421E0
3.617564273E0,2.111666054E-1,-1.633101404E-1,9.881460190E0
3.627221513E0,1.896311939E-1,-1.680957973E-1,9.886245728E0
3.636878752E0,2.063809484E-1,-1.704886109E-1,9.867103577E0
3.646535940E0,2.015953064E-1,-1.776670814E-1,9.869496346E0
3.656193232E0,2.015953064E-1,-1.728814393E-1,9.881460190E0
3.665850419E0,1.944168359E-1,-1.657029688E-1,9.891031265E0
3.675507659E0,2.111666054E-1,-1.752742529E-1,9.864710808E0
3.685164898E0,2.015953064E-1,-1.657029688E-1,9.881460190E0
3.694822138E0,2.039881349E-1,-1.561316848E-1,9.876674652E0
3.704479377E0,1.920240223E-1,-1.489532143E-1,9.864710808E0
3.714136617E0,1.968096644E-1,-1.633101404E-1,9.874281883E0
3.723793857E0,1.968096644E-1,-1.776670814E-1,9.881460190E0
3.733451096E0,1.872383654E-1,-1.680957973E-1,9.869496346E0
3.743108336E0,2.015953064E-1,-1.680957973E-1,9.869496346E0
3.752765575E0,1.752742529E-1,-1.561316848E-1,9.879067421E0
3.762422815E0,1.992024779E-1,-1.776670814E-1,9.881460190E0
3.772080055E0,2.015953064E-1,-1.728814393E-1,9.881460190E0
3.781737294E0,1.896311939E-1,-1.776670814E-1,9.871889114E0
3.791394534E0,1.920240223E-1,-1.728814393E-1,9.874281883E0
